Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
538890,M.K. Exim (India) Ltd,MURLI WADHUMAL DIALANI,Director,Equity Shares,3773893,9.35,Equity Shares,1746,87000.00,Acquisition,Equity,3775639,9.35,19 Feb 2026,19 Feb 2026,21 Feb 2026,Market Purchase,,,,,,,BSE,21 Feb 2026
519152,Vadilal Enterprises Ltd,JAINAA GANDHI,Promoter Group,Equity Shares,0,0.00,Equity Shares,10,10095.00,Acquisition,Equity,10,0.00,18 Feb 2026,18 Feb 2026,20 Feb 2026,Market Purchase,,,,,,,BSE,21 Feb 2026
519156,Vadilal Industries Ltd-$,JAINAA GANDHI,Promoter Group,Equity Shares,0,0.00,Equity Shares,100,4915.00,Acquisition,Equity,100,0.00,18 Feb 2026,18 Feb 2026,20 Feb 2026,Market Purchase,,,,,,,NSE,21 Feb 2026
544248,Mach Conferences And Events Ltd,AMIT BHATIA,Promoter & Director,Equity Shares,13629200,64.79,Equity Shares,3000,351780.00,Acquisition,Equity,13632200,64.80,18 Feb 2026,18 Feb 2026,20 Feb 2026,Market Purchase,,,,,,,BSE,21 Feb 2026
544248,Mach Conferences And Events Ltd,AMIT BHATIA,Promoter & Director,Equity Shares,13632200,64.80,Equity Shares,8400,1014636.00,Acquisition,Equity,13640600,64.84,19 Feb 2026,19 Feb 2026,20 Feb 2026,Market Purchase,,,,,,,BSE,21 Feb 2026
532980,Gokul Refoils & Solvent Ltd,Arjunsinh Rajput,Promoter Group,Equity Shares,1089179,1.10,Equity Shares,12445,488977.00,Acquisition,Equity,1101624,1.11,20 Feb 2026,20 Feb 2026,21 Feb 2026,Market Purchase,,,,,,,NSE,21 Feb 2026
532980,Gokul Refoils & Solvent Ltd,Arjunsinh Rajput,Promoter Group,Equity Shares,1080619,1.09,Equity Shares,8560,336248.00,Acquisition,Equity,1089179,1.10,20 Feb 2026,20 Feb 2026,21 Feb 2026,Market Purchase,,,,,,,BSE,21 Feb 2026
507514,Som Distilleries & Breweries Ltd,DEEPAK ARORA,Promoter,Equity Shares,4572525,2.19,Equity Shares,10000,840775.00,Acquisition,Equity,4582525,2.20,20 Feb 2026,20 Feb 2026,21 Feb 2026,Market Purchase,,,,,,,NSE,21 Feb 2026
544339,Laxmi Dental Ltd,MR. RAJESH VRAJLAL KHAKHAR,Promoter & Director,Equity Shares,9294526,16.91,Equity Shares,12000,2328704.00,Acquisition,Equity,9306526,16.93,20 Feb 2026,20 Feb 2026,21 Feb 2026,Market Purchase,,,,,,,NSE,21 Feb 2026
542020,AKI India Ltd,Mohammad Ajwad,Director,Equity Shares,538,0.00,Equity Shares,3000000,56130000.00,Acquisition,Equity,3000538,2.91,09 Jun 2025,09 Jun 2025,11 Jun 2025,Allotment,,,,,,,NA,21 Feb 2026
