isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector,change,oldisin,oldsecurityid,oldsymbol
INE004A01022,544021,PROTEAN,,PROTEAN,,Protean e-Gov Technologies,Protean e-Gov Technologies (NSDL),PROTEAN,56817103-c681-47df-8b22-b299121389c6,,name,,,
INE005G01026,539559,DDIL,,,,Deep Diamond,Deep Diamond India,DDIL,30d8b5cd-24c7-43c9-bd13-dde87af59e64,,name,,,
INE00C401011,210659,MAL,,MAL,,Mangalam Alloys,,MAL,2f47d697-7346-46a8-9500-65dca6d7de05,,"bsecode,securityid,symbol",,19137.0,
INE00D001018,208145,REXPIPES,,REXPIPES,,Rex Pipes & Cables,,REXPIPES,40a9159b-af10-4d3c-a6a0-cbc91b75fb46,,"bsecode,securityid,symbol",,5312.0,
INE00ER01015,210749,ONDOOR,,ONDOOR,,On Door Concepts,,ONDOOR,106a4301-e10c-457a-a7a5-f3974ddd0228,,"bsecode,securityid,symbol",,19703.0,
INE00F201020,543527,PRUDENT,,PRUDENT,,Prudent Corporate Advisory Services,Prudent Corporate Advisors,PRUDENT,2698b55d-a2fa-4387-be92-687d1dc814f1,,name,,,
INE00HZ01011,526125,BNAGROCHEM,BNHOLDINGS,,,BN Agrochem,BN Holdings,BNAGROCHEM,38968346-9aa3-4394-ab23-1eae8ffacdff,,"bsecode,name,symbol",,,BNHOLDINGS
INE00KV01022,209275,RAJMET,,RAJMET,,Rajnandini Metal,,RAJMET,899d3c7b-de59-461a-922e-d3f7b6dd4cdb,,"bsecode,securityid,symbol",,2171.0,
INE00U401027,544227,UNIECOM,,UNIECOM,,Unicommerce eSolutions,Unicommerce e-Solutions,UNIECOM,6f6bf91d-0198-470f-b85f-76bcb9db416c,,name,,,
INE00U801010,205337,PARIN,,PARIN,,Parin Enterprises,Parin Furniture,PARIN,961dad68-a8bf-4cce-9af9-66bef77aa641,,name,,,
INE00WS01056,208776,GSTL,,GSTL,,Globesecure Technologies,,GSTL,89bb927f-dea4-46b7-bcbb-83c3c2ccf3cd,,"bsecode,securityid,symbol",,9768.0,
INE012Q01021,538119,RNBDENIMS,,RNBDENIMS,,R&B Denims,,RNBDENIMS,8b5718fa-51ae-4815-a998-b0168888bc35,,nsecode,,,
INE016A01026,500096,DABUR,,DABUR,,Dabur India,Dabur,DABUR,5664f3d0-6de0-4408-9e9d-1f2029d687b5,,name,,,
INE019D01016,539383,MAHAVEER,MINFY,,,Mahaveer Infoway,,MAHAVEER,d93b457f-1adc-45e4-855a-c5b7041d1703,,"bsecode,symbol",,,MINFY
INE01A501027,541945,RANJEET,,,,Ranjeet Mechatronics,Ranjeet Mechatronics Limi,RANJEET,7b23ebe4-d348-4d78-871c-21cf136872f7,,name,,,
INE01II01013,205873,SILGO,,SILGO,,Silgo Retail,,SILGO,d86e2ad2-0622-43fc-a974-91334868dc3f,,"bsecode,securityid,symbol",,2495.0,
INE020801028,542337,SPENCERS,,SPENCERS,,Spencer's Retail,Spencers Retail,SPENCERS,c9fd071a-80ff-4e6d-9f8f-78400a598c0e,,name,,,
INE024L01027,533282,GRAVITA,,GRAVITA,,Gravita India,Gravita,GRAVITA,f03611a6-bab0-49ce-ac8b-b019c7431be5,,name,,,
INE027F01014,532217,CMXLTD,SIELFNS,,,CMX Holdings,Siel Financial Services,CMXLTD,6f689961-1844-40f9-ba26-a8ef2b673a95,,"bsecode,name,symbol",,,SIELFNS
INE031G01022,531254,OPTIFIN,,,,Optimus Finance,Optimus Finance Limited,OPTIFIN,50b1235b-a83a-4c0b-9bff-4960b4584c3c,,name,,,
INE035801013,543743,AERONEU,SAH,AERONEU,SAH,Aeroflex Neu,Sah Polymers,AERONEU,b2943997-f836-43b5-9ccf-670e62b7fd4e,,"bsecode,name,nsecode,symbol",,,SAH
INE037B01020,512393,SHARDUL,,,,Shardul Securities,SHARDUL SECURITIES LTD.,SHARDUL,ef1bc6fc-e7d0-40eb-af8c-20311e8d145c,,name,,,
INE03KJ01013,208611,SHIGAN,,SHIGAN,,Shigan Quantum Technologies,,SHIGAN,35469bc0-acda-4610-a6fe-01efa5740f59,,"bsecode,securityid,symbol",,8398.0,
INE04VX01019,210875,SHEETAL,,SHEETAL,,Sheetal Universal,,SHEETAL,99a0be68-408b-4987-9ea9-195eeca47cb4,,"bsecode,securityid,symbol",,20426.0,
INE056001014,542727,CPML,,,,City Pulse Multiventures,City Pulse Multiplex,CPML,5f886c35-e970-444f-9cbd-261ad6c37612,,name,,,
INE062Y01020,540730,MEHAI,,,,Mehai Technology,Mehai Technology  Limited,MEHAI,a8d8e93c-a40f-44d9-942a-2b9fad06555e,,name,,,
INE071A01013,500059,BILVYAPAR,BINANIIND,BILVYAPAR,BINANIIND,Bil Vyapar,Binani Industries,BILVYAPAR,a184d40a-20bf-456d-9bd5-26296023dfe2,,"bsecode,name,nsecode,symbol",,,BINANIIND
INE072A01029,513361,INDIAHOMES,ISWL,,,India Homes,India Steel Works,INDIAHOMES,ddda8126-b566-4f8e-9c56-9371a4b0ba9c,,"bsecode,name,symbol",,,ISWL
INE07L501010,543410,DMR,,,,DMR Engineering,DMR Hydroengineering & Infrastructures ,DMR,e83b1fbb-d725-4b8f-bcc5-6f5ff810e660,,name,,,
INE087E01011,517264,FINELINE,,,,Fine-Line Circuits,FINE-LINE CIRCUITS LTD.,FINELINE,fd2d8c23-be22-4e89-9fcb-73c46d635f88,,name,,,
INE08PH01015,544522,ABCOTS,,ABCOTS,,AB Cotspin,,ABCOTS,18ea02ec-b1ac-4b92-90ad-ea49fb11a21d,,securityid,,208474.0,
INE09FA01019,210544,YUDIZ,,YUDIZ,,Yudiz Solutions,,YUDIZ,acbb125b-ea91-455a-a5e8-55e4e24fa0d9,,"bsecode,securityid,symbol",,18051.0,
INE0AQ201015,544408,THELEELA,,THELEELA,,Leela Palaces Hotels & Resorts,Schloss Bangalore,THELEELA,cad0e2f1-42aa-4a0e-bd16-f018f5bdaa4a,,name,,,
INE0BTR01012,210476,SYNOPTICS,,SYNOPTICS,,Synoptics Technologies,,SYNOPTICS,f62af6d0-5476-4818-b0ad-f30891f80c1e,,"bsecode,securityid,symbol",,17206.0,
INE0C5901022,543319,AAPLUSTRAD,,,,AA Plus Tradelink,AA Plus Tradelink Limited,AAPLUSTRAD,27f0f146-282a-4fd1-86a4-6d4a9e70056c,,name,,,
INE0CDK01019,209129,MAKS,,MAKS,,Maks Energy Solutions,,MAKS,f77a7155-f3af-4cd0-b2c0-8bf6324f40fb,,"bsecode,securityid,symbol",,11222.0,
INE0DHF01018,211931,IPHL,,IPHL,,Indian Phosphate,,IPHL,c0c5975f-dfa2-42ec-a60c-6cf4b6414193,,"bsecode,securityid,symbol",,25036.0,
INE0DM401012,213182,SHRIAHIMSA,,SHRIAHIMSA,,Shri Ahimsa Naturals,SHRI AHIMSA NATURALS LTD,SHRIAHIMSA,6bf8b3a2-ef4e-4085-968e-2abb74a584e4,,name,,,
INE0E4I01027,543443,ASCENSIVE,,,,Ascensive Educare,Ascensive Educare Limited,ASCENSIVE,0200ab28-e510-4a49-91cf-9942475e8684,,name,,,
INE0FLF01015,213373,NIKITA,,NIKITA,,Nikita Greentech Recycling,Nikita Papers,NIKITA,0426090d-3a36-4f17-88f8-505a91b49796,,name,,,
INE0FPO01018,212038,PHOGLOBAL,,PHOGLOBAL,,Phoenix Overseas,,PHOGLOBAL,2c5a20bc-6072-4b63-b507-597be771b4c6,,"bsecode,securityid,symbol",,25519.0,
INE0FW001016,543364,MARKOLINES,,MARKOLINES,,Markolines Pavement Technologies,,MARKOLINES,e01eb539-08d9-491e-a996-e68f26a6ea88,,nsecode,,,
INE0H1201020,543372,GETALONG,,,,Getalong Enterprise,Getalong Enterprise Limit,GETALONG,b5326b73-176f-45df-83fa-bfe7a5905a25,,name,,,
INE0H4B01011,209492,LRRPL,,LRRPL,,Lead Reclaim & Rubber Products,,LRRPL,26802d3b-243b-48de-9c0b-c216d6b389d5,,"bsecode,securityid,symbol",,14211.0,
INE0HKW01018,208528,PRECISION,,PRECISION,,Precision Metaliks,,PRECISION,1cc54d48-ddac-4e89-9019-153e79fe7196,,"bsecode,securityid,symbol",,7963.0,
INE0IGO01011,208303,DESTINY,,DESTINY,,Destiny Logistics - RE,,DESTINY,e41afec5-2c96-4812-9e32-85c4938e6c95,,"bsecode,securityid,symbol",,6092.0,
INE0ISZ01012,211634,ZTECH,,ZTECH,,Z-Tech India,,ZTECH,df9e2937-51ab-40f4-8a2e-d7b9d300d706,,"bsecode,securityid,symbol",,23979.0,
INE0J0B01017,208339,KOTYARK,,KOTYARK,,Kotyark Industries,,KOTYARK,2393f560-297d-41c2-bb1b-b51a238fa5ae,,"bsecode,securityid,symbol",,6444.0,
INE0K1401020,543499,ACHYUT,,,,Achyut Healthcare,Achyut Healthcare Limited,ACHYUT,f9a12dcc-6ead-4efe-9197-4bd203e28496,,name,,,
INE0K4D01020,210308,QUICKTOUCH,,QUICKTOUCH,,Quicktouch Technologies,,QUICKTOUCH,9fb53505-b976-4cf5-b0f0-67275d088ded,,"bsecode,securityid,symbol",,15294.0,
INE0K5H01010,211205,SADHAV,,SADHAV,,Sadhav Shipping,,SADHAV,50078cfd-f811-40e2-be43-8af5a77e506d,,"bsecode,securityid,symbol",,22900.0,
INE0KKN01029,543590,RHETAN,,RHETAN,,Rhetan TMT,,RHETAN,92b56008-4f1b-417e-8c41-414740ec4d57,,nsecode,,,
INE0KLO01025,213173,ACTIVEINFR,,ACTIVEINFR,,Active Infrastructures,ACTIVE INFRASTRUCTURES L,ACTIVEINFR,e43c703a-168e-42e8-9476-b6a0eb5d574a,,name,,,
