isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE001B01026,530813,KRBL,,KRBL,,KRBL,,KRBL,
INE001E01012,530331,PREMCO,,,,Premco Global,,PREMCO,
INE001F01019,513303,MDRNSTL,,,,Modern Steels,,MDRNSTL,
INE001O01029,530251,RISAINTL,,,,Risa International,,RISAINTL,
INE002A01018,500325,RELIANCE,,RELIANCE,,Reliance Industries,,RELIANCE,
INE002B01016,532344,SOFTSOL,,,,Softsol,,SOFTSOL,
INE002E01010,538992,SAPL,,,,SAR Auto Products,,SAPL,
INE002L01015,533206,SJVN,,SJVN,,SJVN,,SJVN,
INE002S01010,539957,MGL,,MGL,,Mahanagar Gas,,MGL,
INE003A01024,500550,SIEMENS,,SIEMENS,,Siemens,,SIEMENS,
INE003B01014,530259,INTSTOIL,,,,Inter State Oil Carrier,,INTSTOIL,
INE003F01015,501477,MULLER,,,,Muller & Phipps,,MULLER,
INE004A01022,544021,PROTEAN,,PROTEAN,,Protean e-Gov Technologies,,PROTEAN,
INE004C01028,514386,GUJCOTEX,,,,Gujarat Cotex,,GUJCOTEX,
INE004E01016,524727,SDL,,,,Span Divergent,,SDL,
INE004Z01011,541973,MACH,,,,Mac Hotels,,MACH,
INE005B01027,532406,AVANTEL,,AVANTEL,,Avantel,,AVANTEL,
INE005C01017,531215,RTSPOWR,,,,RTS Power Corporation,,RTSPOWR,
INE005E01013,531364,EKANSH,,,,Ekansh Concepts,,EKANSH,
INE005G01026,539559,DDIL,,,,Deep Diamond,,DDIL,
INE005I01014,532828,AMDIND,,AMDIND,,Amd Industries,,AMDIND,
INE006C01015,511728,KZLFIN,,,,KZ Leasing & Finance,,KZLFIN,
INE006F01018,523242,NBFOOT,,,,NB Footwear,,NBFOOT,
INE006I01046,532830,ASTRAL,,ASTRAL,,Astral,,ASTRAL,
INE006Z01016,205428,ARVEE,,ARVEE,,Arvee Laboratories,,ARVEE,
INE007A01025,500092,CRISIL,,CRISIL,,CRISIL,,CRISIL,
INE007B01023,532285,GEOJITFSL,,GEOJITFSL,,Geojit Financial Services,,GEOJITFSL,
INE007C01021,526445,INDRANIB,,,,Indrayani Biotech,,INDRANIB,
INE007G01014,526795,MHSGRMS,,,,Mahasagar Travels,,MHSGRMS,
INE007N01010,544027,FEDFINA,,FEDFINA,,Fedbank Financial Services,,FEDFINA,
INE008A01015,500116,IDBI,,IDBI,,IDBI Bank,,IDBI,
INE008B01013,524288,AIMCOPEST,,,,Aimco Pesticides,,AIMCOPEST,
INE008C01011,526640,RAYALEMA,,,,Royale Manor Hotels & Industries,,RAYALEMA,
INE008Z01020,210337,SRPL,,SRPL,,Shree Ram Proteins,,SRPL,
INE009A01021,500209,INFY,,INFY,,Infosys,,INFY,
INE009C01019,514442,SRIKPRIND,,,,Sri KPR Industries,,SRIKPRIND,
INE009U01011,539864,GHUSHINE,,,,Ghushine Fintrrade Ocean,,GHUSHINE,
INE00C401011,210659,MAL$,,MAL,,Mangalam Alloys,,MAL$,
INE00C501018,201064,AMBANIORGO,,AMBANIORGO,,Ambani Orgochem,,AMBANIORGO,
INE00CA01015,542233,TREJHARA,,TREJHARA,,Trejhara Solutions,,TREJHARA,
INE00CE01017,202807,SVLL,,SVLL,,Shree Vasu Logistics,,SVLL,
INE00CX01017,542503,MAHIP,,,,Mahip Industries,,MAHIP,
INE00D001018,208145,REXPIPES,,REXPIPES,,Rex Pipes & Cables,,REXPIPES,
INE00E101023,543653,BIKAJI,,BIKAJI,,Bikaji Foods International,,BIKAJI,
INE00EM01016,541352,MEGASTAR,,MEGASTAR,,Megastar Foods,,MEGASTAR,
INE00ER01015,210749,ONDOOR,,ONDOOR,,On Door Concepts,,ONDOOR,
INE00EV01017,543517,HARIOMPIPE,,HARIOMPIPE,,Hariom Pipe Industries,,HARIOMPIPE,
INE00F201020,543527,PRUDENT,,PRUDENT,,Prudent Corporate Advisory Services,,PRUDENT,
INE00F301010,200766,UWCSL,,UWCSL,,Ultra Wiring Connect,,UWCSL,
INE00FF01025,543349,ACUTAAS,,ACUTAAS,,Acutaas Chemicals,,ACUTAAS,
INE00FM01013,523186,BAPACK,,,,B&A Packaging,,BAPACK,
INE00GK01023,544310,YASHHV,,,,Yash Highvoltage,,YASHHV,
INE00H001014,544285,SWIGGY,,SWIGGY,,Swiggy,,SWIGGY,
